"Article";"Article"
"Articles";"Articles"
"article";"article";"articles"
"View All Articles";"View All Articles"
"Delete Article?";"Delete Article?"
"Are you sure that you want to delete the article with the title ""<a href=""%3$s"">%1$s</a>"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the article with the title ""<a href=""%3$s"">%1$s</a>"" last modified %2$s? It will not be recoverable after being deleted."

"Delete";"Delete"
"or";"or"
"cancel";"cancel"

"ITEM_TYPE_ARTICLE";"Articles"
"ITEM_TYPE_ARTICLE_PHOTO";"Article Photos"
"ITEM_TYPE_ARTICLE_ALBUM";"Article Albums"
"ADMIN_ACTIVITY_TYPE_ARTICLE_NEW";"When a new article is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_ARTICLE";"When someone likes one of my article postings."
"ADMIN_ACTIVITY_TYPE_LIKED_ARTICLE";"When someone comments on an article posting I liked."
"ADMIN_ACTIVITY_TYPE_COMMENT_ARTICLE";"When someone comments on my article."
"ADMIN_ACTIVITY_TYPE_COMMENTED_ARTICLE";"When someone comments on an article I commented on."

"_ACTIVITY_ACTIONTYPE_ARTICLE_NEW";"New articles"
"_ACTIVITY_ACTIONTYPE_COMMENT_ARTICLE";"Comments on your articles"

"ACTIVITY_TYPE_COMMENTED_ARTICLE";"When someone comments on a article I commented on."
"ACTIVITY_TYPE_COMMENT_ARTICLE";"When someone comments on one of my articles."
"ACTIVITY_TYPE_LIKED_ARTICLE";"When someone comments on a article I liked."
"ACTIVITY_TYPE_LIKE_ARTICLE";"When someone likes one of my articles."

"ARTICLE_FORM_ADMIN_GLOBAL_ARTICLE_PAGE_DESCRIPTION";"How many articles will be shown per page? (Enter a number between 1 and 100)"
"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team.";"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team."
"%s article found";"%s article found";"%s articles found"
"%d article";"%d article";"%d articles"
"%s Articles";"%s Articles"
"My %s Articles";"My %s Articles"

"Comments";"Comments"

"Main Photo";"Main Photo"

"Post New Article";"Post New Article"
"Showing articles posted";"Showing articles posted"
"by %1$s";"by %1$s"
"using tag #%1$s";"using tag #%1$s"
"on %1$s";"on %1$s"
"in %1$s";"in %1$s"
"by <span>%1$s</span>";"by <span>%1$s</span>"
"using tag #<span>%1$s</span>";"using tag #<span>%1$s</span>"
"on <span>%1$s</span>";"on <span>%1$s</span>"
"in <span>%1$s</span>";"in <span>%1$s</span>"

"by <a href='%2$s'>%1$s</a>";"by <a href='%2$s'>%1$s</a>"
"using tag #<a href='%2$s'>%1$s</a>";"using tag #<a href='%2$s'>%1$s</a>"
"on <a href='%2$s'>%1$s</a>";"on <a href='%2$s'>%1$s</a>"
"in <a href='%2$s'>%1$s</a>";"in <a href='%2$s'>%1$s</a>"
"by user %s";"by user %s"
"using tag #%s";"using tag #%s"
"with keyword %s";"with keyword %s"
"on %s";"on %s"


"Showing articles posted by";"Showing articles posted by"
"Showing articles using the tag";"Showing articles using the tag"
"Showing articles posted on";"Showing articles posted on"

"Show on Article Profiles?";"Show on Article Profiles?"
"Show on Article Profiles";"Show on Article Profiles"
