# Friends Inviter

"100010000"; "Friends Inviter"
"100010001"; "View Statistics"
"100010002"; "Invitations Tracker"
"100010003"; "Friends Inviter Settings"
"100010004"; "Support"
"100010005"; "Admininstrator, please configure your api_key and secret!"
"100010006"; "Your Address Book is empty"
"100010007"; "Please enter your login information."
"100010008"; "All your contacts are already here! Have you tried another address book?"
"100010009"; "Background email - Notification of ERRORS"
"100010010"; "Background email - Notification of success"
"100010011"; "Unknown error occurred"
"100010012"; "Service temporarily unavailable"
"100010013"; "Not subscribed for this service"
"100010014"; "Authentication failed"
"100010015"; "Empty User or Password fields"
"100010016"; "Unable to decide which service to use"
"100010017"; "Unsupported service"
"100010018"; "Service is unreachable at this moment"
"100010019"; "Error during communication to service"
"100010020"; "Capcha required"
"100010021"; "HTTP Error"
"100010022"; "Find Friends"
"100010023"; "General Friends Inviter Settings"
"100010024"; "This page contains general Friends Inviter settings."
"100010025"; "Your changes have been saved."
"100010026"; "Service keys"
"100010027"; "API Key"
"100010028"; "Secret"
"100010029"; "Specify Api Key and Secret that you have recieved. Should be string 32 characters long consisting of letters and numbers."
"100010030"; "Spam prevention / Mail sending load"
"100010031"; "(This parameter is ignored if using background email sending.) <br> How many invitations each user can send per batch ( prevent server overload ) <b>Note:</b> Limiting this can seriously harm your network growth - extra emails are dropped. Please enter number, 0 for unlimited invitations per batch. "
"100010032"; "invitations per batch."
"100010033"; "How many invitations each user can send per day ( prevent spam ). <b>Note:</b> Limiting this can seriously harm your network growth - extra emails are dropped. Please enter number, 0 for unlimited invitations per day."
"100010034"; "invitations per day."
"100010035"; "Save Changes"
"100010036"; "Require users to enter validation code when inviting others?"
"100010037"; "If you have selected Yes, an image containing a random sequence of 6 numbers will be shown to users on the \"invite\" page. Users will be required to enter these numbers into the Verification Code field in order to send their invitation. This feature helps prevent users from trying to create comment spam. For this feature to work properly, your server must have the GD Libraries (2.0 or higher) installed and configured to work with PHP. If you are seeing errors, try turning this off."
"100010038"; "Yes, enable validation code for inviting."
"100010039"; "No, disable validation code for inviting."
"100010040"; "Befriending behaviour"
"100010041"; "Please select friendship relation between new user and inviting / referring user, based on <strong><u>new user email address</u></strong>. This happens when one or more users send invitation to the same email address."
"100010042"; "Default network behaviour"
"100010043"; "Only befriend if the network is invitation-only"
"100010044"; "One-way friend request from inviter"
"100010045"; "New user receives incoming friend request from the inviter(s) (Default)"
"100010046"; "Confirmed friendship"
"100010047"; "New user and inviter(s) become confirmed friends"
"100010048"; "One-way friend request from new user"
"100010049"; "Inviter(s) receive incoming friend request from the new user."
"100010050"; "Please select friendship relation between new user and inviting / referring user, based on <strong><u>referring user</u></strong>. This happens when invitation is sent or posted somewhere with \"signup_referer\" link, e.g. http://www.yoursite.com/signup.php?signup_referer=ReferringUser - default behavior when using website invitation system."
"100010051"; "No Friendship is established"
"100010052"; "Good if you allow your users post links anywhere on the internet to market the site, so the new users have no social friendships relation with the inviter / promoter. (Default)"
"100010053"; "One-way friend request from referring user (inviter/promoter)"
"100010054"; "New user receives incoming friend request from the referring user (inviter/promoter) (Default)"
"100010055"; "Confirmed friendship"
"100010056"; "New user and referring user (inviter/promoter) become confirmed friends "
"100010057"; "One-way friend request from new user"
"100010058"; "Referring user (inviter/promoter) receives incoming friend request from the new user."
"100010059"; "Background emailing Settings"
"100010060"; "This page contains Background emailing settings."
"100010061"; "Your changes have been saved."
"100010062"; "Save Changes"
"100010063"; "Background email sending"
"100010064"; "Currently queued emails:"
"100010065"; "Background email sending allows queueing invitation emails and sending them in a much more controlled way in order to prevent server overload and marking host as spammer. Invitation process is much faster - user doesn't wait for emails to finish being sent but is instantly presented with next page. <b> Note: </b> Currently works for unix/linux based servers only."
"100010066"; "Enable background email sending"
"100010067"; "Maximum retries for sending mail - sometimes sending can fail - instead of silently dropping them, retry upto this amount."
"100010068"; "maximum retries"
"100010069"; "Maximum emails to send each run / batch of processing. The background processing script will send this much emails each time it is run. Enter 0 to send all queued emails at once."
"100010070"; "max emails per batch"
"100010071"; "SMTP host"
"100010072"; "Crontab line - path to php5 binary and processing script. Please note - this should be php version 5. The background processing script is located in your installation: <i>admin/process_email_queue.php</i>, the path should be absolute."
"100010073"; "Reset crontab line to default"
"100010074"; "Crontab period - period to run background email process script. Note: Some hosting companies limit crontab jobs period to minimum of 15 minutes."
"100010075"; "min"
"100010076"; "hour"
"100010077"; "Estimated time to send these emails:"
"100010078"; "days"
"100010079"; "hours"
"100010080"; "minutes"
"100010081"; "Notifications from background processing script, will be sent to administrator email"
"100010082"; "Notify on error"
"100010083"; "Notify on success"
"100010084"; "There was an error running crontab( %s ). Please make sure your hoster allows executing crontab or add the 'crontab line' manually from your cpanel crontab editor."
"100010085"; "Could not find php binary. Please enter manually."
"100010086"; "SMTP Server Settings"
"100010087"; "Configure STMP Server for sending email. <strong><u>Note</u></strong>: SMTP server is only used when background emailing is enabled."
"100010088"; "SMTP host"
"100010089"; "SMTP port"
"100010090"; "SMTP user"
"100010091"; "SMTP password"
"100010092"; "The following settings are optional and should be changed only if instructed by your hoster."
"100010093"; "Invitation Statistics"
"100010094"; "Use this page to monitor your network growth."
"100010095"; "Quick Summary"
"100010096"; "Invitations Sent vs Signups"
"100010097"; "Imported Contacts vs Invited"
"100010098"; "Network Growth"
"100010099"; "Week of"
"100010100"; " ("
"100010101"; ")"
"100010102"; "Quick Network Invitation Statistics"
"100010103"; "The following data is a quick snapshot of your social network.<br>The data does not include any items that have been deleted."
"100010104"; "Average contacts per user:"
"100010105"; "Total Invitations sent:"
"100010106"; "Total Signups by Invitations:"
"100010107"; "Invites/Signups Ratio:"
"100010108"; "Total Contacts Imported"
"100010109"; "Total Invited From Imported Contacts:"
"100010110"; "Imported/Invited Ratio:"
"100010111"; "Period:"
"100010112"; "This Week (Daily)"
"100010113"; "This Month (Daily)"
"100010114"; "This Year (Monthly)"
"100010115"; "Refresh"
"100010116"; "Imported contacts"
"100010117"; "Invited contacts"
"100010118"; "Invites Sent"
"100010119"; "Referred Users"
"100010120"; "Leaderboard"
"100010121"; "Top Inviters"
"100010122"; "clear all user statistics"
"100010123"; "Top Inviters"
"100010124"; ""
"100010125"; "Top Referrers"
"100010126"; ""
"100010127"; "User"
"100010128"; "No data."
"100010129"; "Last Period"
"100010130"; "Next Period"
"100010131"; "Invite Users"
"100010132"; "Use this page to invite new users to your social network. If you have specified that users may signup by invitation only, this page will email an invitation code to the email addresses you specify. Otherwise, a simple invitation email will be sent. Both these emails can be modified on your <a href='admin_emails.php'>System Emails</a> page."
"100010133"; "Email Addresses"
