"All";"All"
"Selected";"Selected"
"No contacts";"No contacts"
"There is no contacts.";"There are no contacts."
"Send";"Send"
"Everyone";"Everyone"
"Friends";"Friends"
"Mutual";"Mutual"
"Previous";"Previous"
"Next";"Next"
"View fullsize";"View fullsize"
"There are no members";"There are no members"
"read more";"read more"

"Provided License key is correct.  The Module has been successfully installed.";"Provided License key is correct.  The Module has been successfully installed."
"It is paid plugin from Hire-Experts LLC. You need to type License Key to install this module - <a class=""smoothbox"" href=""%s"">Click Here</a>";"It is paid plugin from Hire-Experts LLC. You need to type License Key to install this module - <a class=""smoothbox"" href=""%s"">Click Here</a>"
"Your License Key is invalid. txt";"Your License Key is invalid. If you have changed your site name then please register this plugin to this new domain in http://www.hire-experts.com We keep records for each our plugin installation(attempts). Piracy or Comlicity(sharing of our products) is not tolerated under any circumstances - those who breach the license agreement will be prosecuted to the fullest extent of the law."
"Your License Key is invalid. html";"Your License Key is invalid. If you have changed your site name then please register this plugin to this new domain - <a class=""smoothbox invalid_license_key"" href=""%s"">Click Here</a> We keep records for each our plugin installation(attempts). Piracy or Comlicity(sharing of our products) is not tolerated under any circumstances - those who breach the license agreement will be prosecuted to the fullest extent of the law."
"Please update your license key <a href=""http://www.hire-experts.com"" target=""_blank"">here</a>";"It is paid plugin from Hire-Experts LLC. Please go to <a href=""http://www.hire-experts.com"" target=""_blank"">Hire-Experts.com</a> and register this plugin to your domain(site name), get your unique license key for the plugin and put your license key in the following textfield:"
"Plugin license has been successfully updated.";"Plugin license has been successfully updated."
"This plugin requires Hire-Experts Core Module. We found that you has old version of Core module, please download latest version of Hire-Experts Core Module and install. Note: Core module is free.";"This plugin requires Hire-Experts Core Module. We found that you has old version of Core module, please download latest version of Hire-Experts Core Module and install. Note: Core module is free."

"You changes has been saved successfully";"You changes has been saved successfully"
"Confirm";"Confirm"
"Confirm";"Confirm"
"Cancel";"Cancel"
"or";"or"
"close";"close"

"HECORE_FRIEND_WIDGET_FORM_ADMIN_LEVEL_PRIVACY_DESCRIPTION";"Which options will be available for your network members in friends widget settings box?"
"HECORE_FORM_ADMIN_GLOBAL_DESCRIPTION";"Below you can edit global settings of Hire-Experts Core plugin. Please check Friends widget settings and correct them according to your needs."
"HECORE_FRIEND_WIDGET_FORM_ADMIN_LEVEL_LISTING_DESCRIPTION";"Will users be allowed to select which of their friends will be always displayed on Friends Widget?"

"hecore_Featured";"Featured"
"hecore_Featured Selected";"Make Featured Selected"
"hecore_UnFeatured Selected";"Make Usual Selected"
"hecore_Featured";"Featured"
"hecore_UnFeatured";"Remove from Featured"
"hecore_Featured Members";"Featured Members"

"hecore_Plugins";"Plugins"
"hecore_Plugin Updates";"Plugin Updates"
"hecore_Hire-Experts News";"Hire-Experts News"
"hecore_Hire-Experts Plugins";"Hire-Experts Plugins"
"hecore_New";"New plugins"
"hecore_All";"All plugins"
"hecore_Installed";"Installed on your site"
"hecore_Hire-Experts Plugin Updates";"Hire-Experts Plugin Updates"
"hecore_Hire-Experts Plugin Updates Description";"The following plugins are out of dated on your site. Highly recommended to keep plugins up to date.<br /> Please click on `Update` link to update plugin."
"hecore_Information";"Information"
"hecore_Description";"Description"
"hecore_Screenshots";"Screenshots"
"hecore_Version";"Version"
"hecore_Price";"Price"
"hecore_Official Page";"Official Page"
"hecore_Link on Social Engine";"Link on Social Engine"
"hecore_More Hire-Experts Plugins";"More Hire-Experts Plugins"
"hecore_There are no new plugins, or we were unable to fetch the new plugins.";"There are no new plugins, or we were unable to fetch the new plugins."
"hecore_You should be logged in to view this page.";"You should be logged in to view this page."

"hecore_Global Settings";"Global Settings"
"hecore_Plugins";"Plugins"
"Featured Carousel";"Featured Members Carousel"

"HECORE_LICENSES"; "My Licenses"
"HECORE_LICENSES_DESCRIPTION"; "Below you can view registered licenses for your plugins. If you would like to change your domain then please<br />regenerate license key for new domain using your account on Hire-Experts(<a href='http://www.hire-experts.com'>Hire-Experts.com</a> > My Plugins).<br /> Then please update license key here."
"HECORE_LICENSES_SAVE"; "Save Changes"
"HECORE_NOLICENSES"; "No Licenses"
"HECORE_UPDATE"; "Update plugin"
"HECORE_UPDATE_TITLE"; "Update plugin?"
"HECORE_UPDATE_BODY"; ""
"HECORE_NEWVERSION"; "%1$s -> <span class='hecore_update'>%2$s</span>  %3$s"
"HECORE_UPDATE_LICENSE"; "Please typed license plugin and restart update"
"Choose wich of your friends will be always displayed on this widget.";"Choose which of your friends will be always displayed on this widget."
"HECORE_Select all";"Select all"
"See All";"See All"
"Hire-Experts Core";"Hire-Experts Core"
"Hire-Experts";"Hire-Experts"
"HECORE_LICENSE_VERIVICATION_FAILED";"License  key  verification  failed.  Please  check  carefully  typed  license  key  and  try  again.  You  can  find  your  license  key  in  [Hire-Experts.com]  >  [Login]  >  [<a  href=""http://www.hire-experts.com/my_plugins.php""  target=""_blank"">My  Plugins</a>]."
"HECORE_License verification is processing. Please wait...";"License verification is processing. Please wait..."
