"INVITER_Clear Credentials";"Clear Credentials"
"INVITER_Clear Credentials confirmation";"Are you sure you want to clear credentials for this provider?"

"INVITER_Referrals User";"User:"
"INVITER_Referral Provider";"Provider:"
"INVITER_Referrals Registration date";"Registration date:"
"INVITER_Referral Came by referral link";"Came by referral link"
"INVITER_Referral Came by email invitation";"Came by email invitation"
"INVITER_Provider_Email";"Email"
"INVITER_Provider_Link";"Referral link"
"INVITER_Referral Link Share";"Share to Friends"
"INVITER_Referral Link Description";"Use this unique referral link to share to your friends, on websites and blogs."
"INVITER_Create Referral Link";"You have no referral link. Want to %1$screate%2$s it now?"
"INVITER_No referrals";"You have no referrals."
"INVITER_Invites Select All";"Select All"
"INVITER_Invites Delete Selected";"Delete Selected"
"INVITER_Invites not deleted";"Invites not deleted. Some error was occured."
"INVITER_Invites deleted";"Invites deleted successfully."
"INVITER_Invitations Delete selected";"Are you sure you want to delete the selected invitations?"
"INVITER_Invites not selected";"You haven\'t selected any invite."

"INVITER_Referral Link";"Referral link"
"INVITER_Get Referral Link";"Get your referral link"


"INVITER_Join our social network!";"Join our social network!"

"INVITER_Contacts grabbing";"You are logged in. Wait while grabbing contacting..."
"INVITER_Not logged in";"You are not logged in. Wait for redirecting..."
"INVITER_Orkut_capthca";"type the code"
"INVITER_Orkut_captcha_description";"Please type the captcha code below:"
"INVITER_Orkut_captcha_error";"Captcha is incorrect. Please try again."

"INVITER_No providers";"There is no integrated or configured providers."

"INVITER_Introduction sex title";"INVITER_Introduction sex title"
"INVITER_Introduction sex description";"INVITER_Introduction sex description"

"INVITER_Introduction levels title";"Which member levels can see introductions from this member level?"
"INVITER_Introduction levels description";"Current member level's introductions will be displayed for the selected below member levels."
"INVITER_Deprecated providers";"Deprecated social services"
"INVITER_Deprecated providers description";"These social services are integrated using OpenInviter platform. Unfortunately this platform is not stable and may cause errors. It is important for us to provide stable and user friendly features. Right now our team is working on integration of most popular services using their native APIs. It takes some time to integrate each service. We'll include them in future updates of Friends Inviter plugin which are free for you."
"INVITER_ is not defined in config.php";" is not defined in config.php"
"INVITER_Invalid service provider";"Invalid service provider"
"INVITER_Please enter the full email, not just the username";"Please enter the full email, not just the username"
"INVITER_Please enter just the username, not the full email";"Please enter just the username, not the full email"
"INVITER_<b>{$user_domain}</b> is not a valid domain for this provider";"<b>{$user_domain}</b> is not a valid domain for this provider"
"INVITER_Login failed. Please check the email and password you have provided and try again later";"Login failed. Please check the email and password you have provided and try again later"
"INVITER_An error has occurred while sending friend request.";"An error has occurred while sending friend request."
"INVITER_Friend request is not allowed for some users.";"Friend request is not allowed for some users."
"INVITER_No active session";"No active session"
"INVITER_Provider missing";"Provider missing"
"INVITER_Inviter information missing";"Inviter information missing"
"INVITER_Selected contacts are already members";"Selected contacts are already signed up on site"
"INVITER_An error has occurred while sending invitation, please try again later";"An error has occurred while sending invitation, please try again later"
"INVITER_Missing contacts!!!";"Missing contacts!"
"INVITER_You haven't selected any contacts to invite";"You haven't selected any contacts to invite"
"INVITER_ADMIN_STATS_INVITER_SENTS";"Sent Invites"
"INVITER_ADMIN_STATS_INVITER_REFERREDS";"Referred Invites"
"INVITER_ADMIN_STATS_INVITER_SENTS_INVITER_ADMIN_STATS_INVITER_REFERREDS";"Sent / Referred Invites"
"INVITER_Invites sent successfully!";"Invites sent successfully!"
"INVITER_Invalid request method";"Invalid request method"
"INVITER_No file";"No file"
"INVITER_Invalid Upload";"Invalid Upload";
"INVITER_No contacts found in uploaded file.";"No contacts found in uploaded file."
"INVITER_You're already in friendship with all of your uploaded contacts.";"You're already in friendship with all of your uploaded contacts."
"INVITER_An error occurred.";"An error occurred."
"INVITER_Failed!, incorrect email adress has been written.";"Failed!, incorrect email address has been written.";"Failed!, incorrect email addresses have been written."
"INVITER_Invitation has been sent successfully.";"Invitation has been sent successfully.";"Invitations have been sent successfully."
"INVITER_Written contact's already member.";"Written contact's already member.";"Written contacts're already members."
"INVITER_Invitations sucessfully have been sent to your contacts.";"Invitations successfully have been sent to your contacts."
"INVITER_Invitations not sent";"Invitations hasn't been sent to your contacts."
"INVITER_No members specified";"No members specified"
"INVITER_No action taken";"No action taken"
"INVITER_Invalid data";"Invalid data"
"INVITER_Your friend request has been sent.";"Your friend request has been sent."
"INVITER_Friend request was not sent to some of selected members.";"Friend request was not sent to some of selected members."
"INVITER_Invitation deleted.";"Invitation deleted."
"INVITER_Failed!, please check your contacts and try again.";"Failed, please check your contacts and try again."
"INVITER_Edit Suggest List";"Edit Suggest List"
"INVITER_Add to Suggest";"Add to Suggest"
"INVITER_Members successfully have been added to suggest list.";"Members successfully have been added to suggest list."
"INVITER_Failed! Please check and try again later.";"Failed! Please check and try again later."
"INVITER_Mutual Friends";"Mutual Friends"
"INVITER_Step %d: Invite Your Friends";"Step %d: Invite Your Friends"
"INVITER_Invite Friends";"Invite Friends"
"INVITER_FORM_ADMIN_SIGNUP_INVITE_DESCRIPTION";"Do you want members to invite their friends during the signup process? It is Inviter form which allows member to invite his friends(or find friends within network) using his address book or social service(facebook, linkedin, hi5, etc)."
"INVITER_Yes, include the 'Invite Friends' step during signup.";"Yes, include the 'Invite Friends' step during signup."
"INVITER_No, do not include this step.";"No, do not include this step."
"INVITER_Member Level Settings";"Member Level Settings"
"INVITER_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"INVITER_Allow Using of Inviter?";"Allow Using of Inviter?"
"INVITER_Allow Introduction Browsing?";"Allow Introduction Browsing?"
"INVITER_Do you want to let members use inviter?";"Do you want to let members use inviter?"
"INVITER_Do you want to let members browse introductions?";"Do you want to let members browse introductions?"
"INVITER_No, do not allow use inviter.";"No, do not allow use inviter."
"INVITER_Yes, allow use inviter.";"Yes, allow use inviter."
"INVITER_How to create a contact file...";"How to create a contact file..."
"INVITER_Outlook";"Outlook"
"INVITER_OUTLOOK_UPLOAD_CONTACTS_DESCRIPTION";"To export a CSV or tab-delimited text file from Outlook:<br />
<br />
		1. Open Outlook<br />
		2. Select 'Import and Export' from the File menu<br />
		3. When the wizard opens, select 'Export to a file' and click 'Next'<br />
		4. Select 'Comma separated values (Windows)' and click 'Next'<br />
		5. Select the Contacts folder you would like to export and click 'Next'<br />
		6. Choose a filename and a place to save the file (for instance, 'Contacts.csv' on the Desktop), then click 'Next'<br />
		7. Confirm what you are exporting: make sure the checkbox next to 'Export...' is checked and click 'Finish'<br />
<br />
To upload your file, simply hit 'Browse' or 'Choose File' below and select the contact file you've just created."
"INVITER_Outlook Express";"Outlook Express"
"INVITER_OUTLOOK_EXPRESS_UPLOAD_CONTACTS_DESCRIPTION";"To export a CSV or tab-delimited text file from Outlook Express:<br />
<br />
   1. Open Outlook Express<br />
   2. Select 'Export' from the 'File' menu<br />
   3. Click 'Export', and then click 'Address Book'<br />
   4. Select 'Text File' (Comma Separated Values), and then click 'Export'.<br />
   5. Choose a filename and a place to save the file (for instance, 'Contacts.csv' on the Desktop) and click 'Next'<br />
   6. Click to select the check boxes for the fields that you want to export, and then click 'Finish'. Please be sure to select the email address and name fields<br />
   7. Click 'OK' and then click 'Close'<br />
<br />
To upload your file, simply hit 'Browse' or 'Choose File' below and select the contact file you've just created."
"INVITER_Mozilla Thunderbir";"Mozilla Thunderbird"
"INVITER_MOZILLA_THUNDERBIRD_UPLOAD_CONTACTS_DESCRIPTION";"To export an LDIF file from Mozilla Thunderbird:<br />
<br />
   1. Open Mozilla Thunderbird<br />
   2. Select 'Address Book' from the 'Tools' menu<br />
   3. When the address book window opens, select 'Export...' from the 'Tools' menu<br />
   4. Choose a filename and a place to save the file (for instance, 'Contacts.ldif' on the Desktop) and click 'Save'<br />
<br />
To upload your file, simply hit 'Browse' or 'Choose File' below and select the contact file you've just created."
"INVITER_Windows Mail";"Windows Mail"
"INVITER_WINDOWS_MAIL_UPLOAD_CONTACTS_DESCRIPTION";"To export a CSV file from Windows Mail:<br />
<br />
   1. Open Windows Mail<br />
   2. Select Tools | Windows Contacts... from the menu in Windows Mail<br />
   3. Click 'Export' in the toolbar<br />
   4. Make sure CSV (Comma Separated Values) is highlighted, then click 'Export'<br />
   5. Now click 'Browse'<br />
   6. Pick a folder to save the exported contacts.<br />
   7. Choose a filename and a place to save the file (for instance, 'Contacts.csv' on the Desktop) and click 'Next'<br />
   8. Click 'Save' then click 'Next'<br />
   9. Make sure all address book fields you want included are checked<br />
  10. Note that Windows Mail does not export first and last names separately, even though there are First Name and Last Name fields. Do choose Name instead.<br />
  11. Click 'Finish'<br />
  12. Click 'OK' then click 'Close'<br />
<br />
To upload your file, simply hit 'Browse' or 'Choose File' below and select the contact file you've just created."
"INVITER_Other";"Other"
"INVITER_OTHER_UPLOAD_CONTACTS_DESCRIPTION";"Many email clients and PIM  programs allow contacts to be exported to a file.We support the following types of contact file:<br />
<br />
    * Comma-separated values (.csv)<br />
    * LDAP Data Interchange Format (.ldif)<br />
Please check your email client's documentation to see whether contact export to one of these formats is supported."
"INVITER_FORM_SIGNUP_INVITE_DESCRIPTION";"Invite friends from your address book or social service. We don't store your login information."
"INVITER_Provider";"Provider"
"INVITER_Import Contacts";"Import Contacts"
"INVITER_FROM_WIDGET_IMPORT_DESCRIPTION";"How do you talk to the people you know? Choose a service:"
"INVITER_Delete Invitation";"Delete Invitation"
"INVITER_FORM_DELETE_DESCRIPTION";"Are you sure you want to delete this invitation?"
"INVITER_Delete Invitation";"Delete Invitation"
"INVITER_FORM_FRIENDREQUEST_DESCRIPTION";"Would you like to add this members as a friend?"
"INVITER_FROM_IMPORT_DESCRIPTION";"How do you talk to the people you know? Choose a service:"
"INVITER_Send Invitations";"Send Invitations"
"INVITER_FORM_SEND_DESCRIPTION";"Would you like to send invitations to these contacts?"
"INVITER_Resend New Invitation";"Resend New Invitation"
"INVITER_FORM_SENDNEW_DESCRIPTION";"Please type your message and click `Resend button` to resend your invitation."
"INVITER_From";"From"
"INVITER_Resend Invitation";"Resend Invitation"
"INVITER_Selected contact is already member";"Selected contact is already member"
"INVITER_Failed! Error has occurred while sending your invites.Please try again later.";"Failed! Error has occurred while sending your invites.Please try again later."
"INVITER_Invite sent successfully!";"Invite sent successfully!"
"INVITER_FORM_UPDLOAD_DESCRIPTION";"Upload a contact file and we will tell you which of your contacts are on site and which you can invite to join."
"INVITER_FORM_WRITE_DESCRIPTION";"Invite your friends to join! Enter email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in."
"INVITER_Failed! No user selected, please try again later.";"Failed! No user selected, please try again later."
"INVITER_Failed! No contact selected, please try again later.";"Failed! No contact selected, please try again later."
"INVITER_Failed! Please check fields and try again later.";"Failed! Please check fields and try again later."
"INVITER_People You May Know";"People You May Know"
"INVITER_Top Inviters";"Top Inviters"
"INVITER_Top Referrals";"Top Referrals"
"Friends Inviter";"Friends Inviter"
"INVITER_View Statistics";"View Statistics"
"INVITER_VIEWS_SCRIPTS_ADMINSTATS_CHART_DESCRIPTION";"Below you can find detailed statistics for sent invitations and referred invites for any wished period. Please use the filters below to view statistics for wished period and sliced by selected unit."
"INVITER_Invites Date";"Invites Date"
"INVITER_Sent Invites";"Sent Invites"
"INVITER_Referred Invites";"Referred Invites"
"INVITER_View Statistics";"View Statistics"
"INVITER_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"You can find total statistics for invitations under `Quick Stats` section. Below you can browse inviters with all needed details: send invites, referred users, etc. Use filters and sort ording to find wished inviter."
"INVITER_Quick Stats";"Quick Stats"
"INVITER_Network Information";"Network Information"
